interaction_id,investor_id,agent_id,date,outcome,objections_raised,duration_sec,sentiment
int_52289846,inv_72cdebb4,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",34,Frustrated
int_ee9be7e7,inv_79fde36b,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",51,Frustrated
int_67c2aa72,inv_5e1f6ade,agt_109,2025-10-15,Rejected,"[""Market is high"", ""Past returns negative""]",109,Skeptical
int_ccf3ebcb,inv_aecbeff8,agt_106,2025-10-15,Follow-Up,"[""Need to ask family"", ""Send details on WhatsApp""]",229,Curious
int_e4117036,inv_26bce44e,agt_112,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",56,Frustrated
int_be9fc867,inv_de14b0f9,agt_101,2025-10-15,Rejected,"[""Need to ask family""]",216,Firm
int_43cf6252,inv_c60a6d1d,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",27,Frustrated
int_3f115308,inv_c6a3d175,agt_113,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",41,Frustrated
int_78119cbb,inv_66f70428,agt_108,2025-10-15,Rejected,"[""EMI pressure""]",211,Annoyed
int_fdf249c0,inv_f012fe13,agt_116,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",42,Frustrated
int_c360d0cc,inv_fa337354,agt_118,2025-10-15,Rejected,"[""Competitor has zero commission""]",104,Firm
int_0a212a13,inv_8caf5ec9,agt_105,2025-10-15,Converted,"[""Initial hesitation resolved""]",1031,Trusting
int_80d019bb,inv_eb772977,agt_101,2025-10-15,Rejected,"[""Pocket money issue"", ""Past returns negative""]",175,Annoyed
int_9020d934,inv_97af6ca0,agt_115,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",50,Frustrated
int_a2510efd,inv_8edd4e59,agt_103,2025-10-15,Converted,"[""Competitor has zero commission""]",465,Enthusiastic
int_40e2f21d,inv_81738a54,agt_106,2025-10-15,Rejected,"[""Need to ask family""]",87,Firm
int_5bb88fa7,inv_e163ca07,agt_103,2025-10-15,Rejected,"[""Market is high""]",227,Skeptical
int_0bbb2911,inv_1d2732d5,agt_119,2025-10-15,Follow-Up,"[""Need to ask family"", ""Send details on WhatsApp""]",522,Confused
int_57ace606,inv_f736ce36,agt_101,2025-10-15,Follow-Up,"[""Market is high"", ""Send details on WhatsApp""]",484,Curious
int_425b2d4e,inv_5efb7c46,agt_108,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",28,Frustrated
int_38dc8049,inv_15187c0d,agt_119,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",42,Frustrated
int_d385d2d7,inv_17d89065,agt_106,2025-10-15,Rejected,"[""Competitor has zero commission"", ""Past returns negative""]",211,Skeptical
int_be53fca5,inv_96f80a0f,agt_104,2025-10-15,Rejected,"[""Need to ask family""]",68,Annoyed
int_1d4e9f42,inv_ac2208b9,agt_109,2025-10-15,Rejected,"[""Competitor has zero commission""]",220,Skeptical
int_63d85db1,inv_b5fccb00,agt_113,2025-10-15,Rejected,"[""Market is high""]",124,Annoyed
int_bcc5623c,inv_da377c51,agt_108,2025-10-15,Rejected,"[""EMI pressure"", ""Past returns negative""]",183,Firm
